0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,1.647574958790557e-25,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,7.10235306107847e-25,0.0,0.0,,0.0,0.0,9.843406086276126e-27,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,2.013907712350082e-23,0.0,,,1.407611042092165e-18,0.0,,,0.0,0.0,0.0,0.0,1.7920339407723447e-19,0.0,0.0,0.0,0.0,0.0,4.022690346623379e-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,1.472065392070052e-18,,0.0,,0.0,0.0,0.0,4.83891335253029e-17,0.0,0.0,0.0,,0.0,0.0,0.0,4.6584884363108054e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.576878367129347e-19,9.354082148102387e-23,0.0,0.0,0.0,,0.0,0.0,6.205180344198062e-20,0.0,0.0,0.0,9.554654963591872e-21,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2.09771483750457e-21,0.0,2.065053841433178e-22,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17858217101041e-17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.925693891925579e-18,0.0,2.3338036410023713e-19,,0.0,,0.0,0.0,0.0,,0.0,,2.3764796272200567e-21,3.118228405846489e-22,0.0,0.0,9.338059933298887e-23,0.0,0.0,,0.0,0.0,1.2533368053376991e-24,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,7.837844363097351e-21,0.0,0.0,0.0,0.0
0.0,,0.0,3.520936014144811e-21,1.8554997402148363e-17,,,2.2680191893868883e-16,0.0,,,1.2436415375434335e-22,0.0,0.0,0.0,2.2525233130023535e-17,0.0,0.0,0.0,0.0,8.596970021614235e-17,8.107538548449185e-21,0.0,6.421726986576282e-12,4.32339139610022e-20,4.990672579394338e-14,5.531843145525012e-17,,6.61467103330226e-17,4.718588804838013e-19,1.7005529589062702e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.578217302173431e-18,1.9059097064851426e-19,2.2450923023797823e-20,4.925123218688923e-17,0.0,0.0,,0.0,,0.0,0.0,,2.1337583295181938e-16,,0.0,,0.0,0.0,0.0,8.215448990418799e-15,0.0,0.0,6.655386074416525e-20,,0.0,0.0,0.0,9.767369067400674e-25,0.0,2.2907386479232506e-19,0.0,2.336769953038911e-14,0.0,0.0,0.0,0.0,2.006350520992401e-22,0.0,0.0,1.1078071664932235e-13,,0.0,0.0,3.4808678729489404e-20,0.0,4.847502925932947e-24,0.0,,,5.7951430971252e-17,1.592369537865293e-20,0.0,0.0,0.0,,5.918081471605508e-21,1.728542864927755e-19,1.0815485773056233e-17,8.358505529029593e-17,2.863446314255865e-16,0.0,1.1935592020090434e-18,0.0,,5.645970016350867e-17,0.0,0.0,9.316508076014768e-23,0.0,,6.520973914203445e-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,8.483065834835498e-19,2.6105803595586896e-20,2.3623150311491847e-19,0.0,4.17966669378528e-19,0.0,3.862471484294742e-20,0.0,,,0.0,,0.0,,,0.0,2.231235965568579e-18,0.0,2.0312705743007239e-19,5.3503305008974927e-20,0.0,0.0,8.991956017370188e-15,,0.0,8.881891847783077e-18,0.0,8.344966626061114e-18,0.0,7.426882426362998e-20,0.0,,,0.0,0.0,0.0,3.3451292757030205e-16,4.852829917913568e-20,2.178806057705628e-17,,1.8076742465181094e-16,,0.0,0.0,3.6890076454177234e-24,,0.0,,4.312424696170044e-19,3.788712218061622e-20,0.0,1.077280317874837e-14,8.073608425038587e-21,1.982123211890069e-17,1.0028563088366795e-19,,3.485739105742774e-19,0.0,1.9033109136549462e-22,0.0,2.223391847836271e-15,,3.566464470898114e-15,0.0,1.0548381396631104e-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0006974748081266e-27,,1.3241228244830104e-18,5.839277305679873e-23,0.0,0.0,5.174915480885128e-17
0.0,,0.0,4.2345298187267433e-19,1.326513122806024e-15,,,0.0,5.156713489020962e-16,,,2.9110405569539535e-20,0.0,0.0,0.0,5.5580505570698846e-15,0.0,0.0,0.0,0.0,8.324264175501115e-15,7.780526032968202e-21,0.0,3.4051856742587665e-12,2.4691584551732843e-15,3.991258173019355e-12,2.861455917609177e-17,,1.2228230688066194e-14,1.0856082372230777e-16,1.7823424438669588e-17,0.0,0.0,5.0942794471998404e-14,0.0,0.0,0.0,0.0,5.137217914637542e-17,4.2956029601959205e-18,9.311264579120408e-17,8.51251622274273e-23,0.0,,0.0,,0.0,0.0,,1.7204405826590874e-16,,0.0,,0.0,0.0,0.0,1.1665201842563539e-12,0.0,0.0,1.666955536903944e-20,,0.0,0.0,0.0,3.3061399239340785e-22,0.0,4.864291482704567e-17,0.0,3.0907835940063764e-14,0.0,0.0,0.0,1.5730046265470686e-12,5.76568293981952e-20,0.0,0.0,1.8240357090063124e-11,,0.0,1.5671982109247326e-17,8.964679948921474e-18,0.0,1.6000587704679254e-21,0.0,,,8.306689645455397e-15,4.084236171581126e-20,0.0,0.0,0.0,,8.869581850701326e-19,7.090685564543504e-20,4.689284010012934e-16,1.1672761244640128e-14,4.840361468392592e-16,0.0,9.401771476304835e-17,0.0,,1.1691057459460563e-14,0.0,0.0,2.4194375278134598e-20,0.0,,1.6117980977547276e-14,1.472122892850181e-17,5.944643141564905e-18,0.0,6.085512057061551e-21,2.3442289929649363e-13,,0.0,0.0,,0.0,,1.8892052552536815e-16,0.0,1.1433753259865037e-19,0.0,5.1345844190047044e-17,0.0,7.718147369629261e-18,0.0,,,0.0,,0.0,,,0.0,6.214831920476296e-16,0.0,5.585498150186702e-17,0.0,4.413798925583669e-12,0.0,1.8145692428133706e-12,,0.0,5.0298546306977556e-18,0.0,1.5251119789989831e-18,0.0,2.1711730308147856e-17,0.0,,,5.6355887740760664e-18,0.0,3.460687283026633e-22,6.69290575337042e-14,9.351866072604588e-18,1.6584273651268814e-17,,1.6988981752715626e-14,,1.1062073038821784e-16,0.0,1.2084294759030856e-21,,1.889724565667809e-16,,5.827023417080786e-17,2.3343366381451502e-20,0.0,8.489190006601903e-12,1.3479744562211044e-20,5.596216820948185e-15,5.261922318054181e-20,,2.6109594995069677e-17,0.0,3.0740026798650884e-22,1.1642529364997023e-15,4.713233855107111e-13,,5.511949042270325e-15,0.0,8.972511397842241e-21,6.699817254129205e-17,0.0,0.0,0.0,9.209967813426949e-14,,0.0,0.0,,3.853411891609398e-25,,3.6522460179587627e-16,2.0588649939302885e-20,0.0,0.0,8.307509059349592e-15
0.0,,0.0,1.9175118135527622e-19,1.446526471666368e-15,,,2.221142196756999e-14,5.266893641959665e-16,,,1.5280215706196975e-17,0.0,0.0,0.0,5.782421511322269e-18,0.0,0.0,0.0,0.0,9.503449132123972e-18,2.24658357040113e-18,0.0,9.299585553908484e-10,1.0676017267248638e-17,2.0448302214204074e-12,1.2300668503328065e-14,,0.0,4.5728990922732623e-14,3.82288884564623e-15,0.0,0.0,5.960435749709848e-17,0.0,0.0,0.0,4.584085247205185e-16,3.700050319407398e-15,1.892146811791536e-18,1.1714544061613115e-14,4.92914880367744e-20,0.0,,0.0,,0.0,2.290587635723844e-15,,4.1555366440658866e-14,,0.0,,0.0,0.0,0.0,2.509066942837349e-15,0.0,0.0,7.907593212319626e-18,,0.0,0.0,0.0,1.6699636154700037e-22,0.0,5.768302917938572e-17,0.0,4.207626398317124e-12,2.5633177810980965e-14,0.0,0.0,4.4728371468809117e-10,6.258014539446333e-20,0.0,0.0,0.0,,0.0,5.5066159775117965e-15,0.0,0.0,8.653999461458543e-19,0.0,,,4.149717599036463e-15,4.527123813241731e-18,0.0,0.0,0.0,,1.4133396381781192e-18,3.868614054064549e-17,1.151547542918874e-15,4.714361947289264e-15,6.492827520376529e-14,3.155572658914931e-19,1.947619123550558e-14,0.0,,1.302504577722289e-14,0.0,0.0,1.2715313211868e-17,0.0,,6.5921357534358645e-12,2.228433708491291e-15,1.653869910109296e-15,0.0,1.7519064245710618e-18,4.592944958321489e-11,,3.0642676992881223e-16,0.0,,1.4469099388624585e-16,,1.9942119909502008e-16,6.277195540104598e-18,5.687531319236562e-17,0.0,2.0011374069243415e-14,0.0,4.560325780905659e-20,0.0,,,0.0,,0.0,,,0.0,7.013166438921363e-16,0.0,7.520403410737838e-15,6.794285438495576e-18,2.2571596232279823e-12,0.0,1.6670830369409896e-15,,0.0,2.264233127521008e-15,0.0,7.067863255014149e-16,1.6701313683600717e-13,5.65532405257949e-15,0.0,,,8.264384207948731e-16,0.0,1.0414642214298061e-19,6.47793541291444e-14,9.842131629353657e-21,1.60297950714131e-15,,3.710800165525594e-17,,1.790394025726162e-16,0.0,0.0,,4.461742847429113e-14,,7.931908671397031e-20,1.1766814115371187e-17,0.0,2.2341287529113946e-12,2.3891681708046753e-18,1.1861503429254135e-17,2.5205862005002065e-17,,3.149503769201442e-17,0.0,5.581761326393043e-20,0.0,2.2912201386517402e-15,,7.567594226053092e-13,0.0,3.238154960081052e-21,1.434898830959805e-19,0.0,0.0,0.0,3.1751398777495197e-16,,0.0,0.0,,2.327108359565814e-22,,8.899080669335538e-14,1.2303552809449396e-20,0.0,0.0,4.84582511507475e-15
2.6772914542058468e-14,,0.0,1.9278179113135194e-16,5.34064856498979e-13,,,1.8445312458777238e-11,2.279819441591139e-13,,,4.228137813517357e-15,1.4735050030018423e-14,9.597766306778093e-12,0.0,2.3196917244543322e-14,7.867647353884044e-14,0.0,4.457381638522234e-15,0.0,3.1070531164660608e-12,1.2104844097256871e-15,0.0,7.738188048897471e-12,3.3706058566490803e-15,1.3154958640473997e-09,4.629105721869085e-12,,4.2788929403744525e-12,1.1604901674972537e-11,2.7769936751537036e-17,0.0,0.0,6.022383686588412e-14,0.0,0.0,0.0,4.0103951377750614e-13,2.8348530368862505e-12,9.935675521966309e-16,1.9732934168182262e-16,4.88303698242799e-17,0.0,,0.0,,0.0,1.5500198827981287e-12,,2.1683156715845097e-16,,0.0,,0.0,0.0,0.0,3.390638628129101e-10,0.0,0.0,7.27776891826398e-15,,5.6588388742601854e-15,3.0515461816319663e-12,0.0,1.9960487776166508e-19,0.0,2.193957128649538e-14,2.091538042563993e-12,1.4244574489906666e-09,2.013206526910478e-11,0.0,1.611250134015896e-18,8.030364471606492e-13,3.1897267398723076e-17,0.0,0.0,1.0487134342806032e-11,,0.0,7.193768266138557e-17,5.1586180120295134e-18,0.0,4.588193343890823e-16,2.908035822273948e-14,,,3.3630393608269737e-12,4.6737378710070114e-15,1.2504079985037228e-14,0.0,0.0,,4.765792918259146e-16,3.329365414030211e-14,2.1138670152660325e-13,3.767363818529332e-12,2.365113889310233e-11,3.05798906197651e-16,7.533926032916381e-12,0.0,,4.734763872137808e-12,0.0,0.0,1.0931613962618728e-14,0.0,,2.176512162703833e-09,8.64647756310381e-13,7.285416169650781e-13,0.0,1.7428868533102593e-15,6.58362449738378e-13,,2.706994879616488e-13,0.0,,6.417898244410071e-14,,9.142744475989964e-14,5.91171784659849e-15,2.395179536376158e-14,0.0,1.4646862046472387e-11,0.0,1.8414191019811716e-17,0.0,,,0.0,,0.0,,,0.0,3.059336796776904e-13,0.0,1.9927677602751694e-12,6.208130777240451e-15,1.3311862169350381e-09,4.513474322851741e-12,1.1920325634800994e-12,,0.0,9.21654701865335e-13,0.0,5.10358548937295e-13,3.259324218005191e-11,5.724092583246932e-15,0.0,,,3.12520718790805e-13,0.0,3.318251822227125e-17,4.9336949312231114e-11,1.0000287723865188e-17,8.09078666483049e-18,,4.619340243881948e-20,,5.1250916036807134e-14,0.0,1.776657357836235e-21,,2.710522510318727e-16,,2.839609920478249e-17,5.510423941655847e-15,0.0,1.4243495698058598e-09,2.2334845229474696e-15,1.6401066441217535e-12,1.073131536884598e-14,,1.2863387998246672e-14,0.0,5.691682165652945e-17,0.0,1.0545887194437425e-12,,2.2955932495132063e-10,9.835910653386624e-12,1.8714694625512042e-18,7.400427768090713e-17,0.0,0.0,0.0,2.4871367464460224e-13,,0.0,0.0,,9.131076476720984e-20,,1.7102768194918555e-11,6.54965811618813e-18,3.846337617404499e-12,0.0,3.827839099583761e-12
6.291199270741879e-12,,0.0,3.249487511902646e-14,3.088235340228027e-10,,,0.0,5.042909450270561e-11,,,2.5142878553005723e-12,2.9732626592613425e-12,5.466506884511162e-09,0.0,2.0367810181216914e-12,4.572638403838403e-11,0.0,1.4188289031817352e-12,0.0,4.02127192172229e-10,3.016401245476515e-13,0.0,1.5195763885920481e-09,1.1239087850171396e-12,6.009665199748796e-07,2.449018684715057e-09,,1.0063210557305659e-09,1.586367236495925e-09,6.41038704867828e-15,0.0,0.0,2.1726463366559262e-11,0.0,0.0,0.0,2.600552974443701e-10,1.4341179170792766e-09,3.2919962549068606e-13,2.562710946814394e-14,4.024529984665262e-14,3.6024243219338834e-12,,0.0,,0.0,4.198943134992795e-10,,3.57397714889141e-14,,0.0,,0.0,0.0,0.0,6.272354958159216e-08,0.0,0.0,2.1948052922184043e-12,,1.1159815884532141e-12,8.165025382884518e-10,0.0,5.87982466595875e-17,0.0,2.965310275294035e-14,1.2229389068124196e-12,5.561666951823863e-07,1.1238490951294342e-08,0.0,4.425419613708129e-16,7.880782248947865e-16,1.2432441110237516e-14,0.0,0.0,5.915733988103135e-09,,0.0,1.4670688849154543e-14,4.02880318742379e-15,0.0,1.9218051346053265e-13,6.598737497231532e-12,,,6.06430501790995e-10,8.945642549344875e-13,7.528657863558962e-12,0.0,0.0,,3.252441443494288e-13,2.5234430524386847e-14,4.554782540637835e-11,2.121455517612383e-09,6.292686111355112e-11,7.939482762725376e-14,1.2768629815794424e-09,0.0,,1.1375365990437322e-09,0.0,0.0,6.859412301910957e-12,0.0,,2.8862691098453017e-09,1.622177325884389e-10,2.2295685929966862e-10,3.953783013050321e-11,1.1631245169474597e-12,1.6064378080054613e-10,,1.7382663070362192e-10,0.0,,9.970241305204e-12,,1.1033185255923357e-13,3.404362874416228e-12,1.4427214571932869e-11,5.690911944548276e-13,2.1412474739209067e-09,0.0,3.978703250994669e-15,0.0,,,0.0,,0.0,,,0.0,2.0775105676564664e-10,0.0,2.5801980923268243e-10,4.046014068767657e-12,2.661377598546127e-07,6.471662560203889e-10,5.710880536930617e-10,,0.0,4.564530177752102e-10,0.0,2.716033354817054e-10,5.739652594031663e-09,5.813903363825963e-15,0.0,,,1.4514731546791642e-10,0.0,1.2263207486708902e-14,2.959827223945097e-11,4.218047845711994e-15,2.655106678860132e-15,,6.796857629005947e-12,,1.5753597844474028e-11,0.0,7.15204038535825e-19,,6.591057962233387e-14,,2.2492195820117076e-14,1.8855671221952082e-12,0.0,2.4749345966003734e-09,1.331901827372216e-12,2.102641738791097e-12,6.604571981597655e-12,,2.7309145451971457e-12,1.3625718128908833e-13,2.1986160173257315e-14,4.929312814758609e-13,1.8375315641584846e-10,,3.231271133701374e-10,1.1727466270991925e-11,5.310163628489142e-16,2.891905251098732e-14,0.0,0.0,0.0,3.3468854281858245e-11,,0.0,0.0,,3.6886288920086204e-17,,2.833690512348977e-09,2.702473642373396e-15,1.074328932880692e-09,0.0,7.93887473005877e-10
5.0045121811422234e-09,,0.0,3.3149913125587574e-11,9.998616329967404e-08,,,1.0174764846030849e-08,6.677856739634678e-09,,,2.272806068355342e-09,7.973361538107077e-10,1.1850955024078824e-06,0.0,5.59462339612643e-12,1.9306172567343578e-08,0.0,3.886504278701278e-10,0.0,9.108238444861247e-08,1.5225773303931042e-10,0.0,5.241496312272202e-07,9.237899008765447e-10,6.487501239465077e-05,7.682676033257071e-07,,2.1875824263599168e-07,1.1302705159437115e-06,3.2413907664779065e-12,0.0,0.0,5.036889253105241e-09,0.0,0.0,1.43694363466682e-09,4.241555112107965e-08,2.405851814939612e-07,3.2973059705280743e-10,8.810231137401497e-12,3.826633362358566e-11,5.788748474030521e-10,,2.3892411981867197e-08,,0.0,2.7790309405554754e-07,,3.421292342444473e-11,,0.0,,0.0,0.0,0.0,9.844174813914408e-06,0.0,0.0,6.087126119387255e-10,,2.717873399691761e-10,2.641703119546451e-07,0.0,7.333587756492643e-14,0.0,1.472709828265889e-11,1.0687947435975475e-09,0.00013193593520255235,7.2842707234284094e-06,0.0,4.92114560562204e-13,2.1626462858685927e-07,3.1590185230390544e-12,0.0,0.0,1.8902341063614647e-06,,2.1679969270960764e-12,3.882854332227188e-12,4.610592611734126e-12,0.0,1.8395687918131317e-10,1.749965622787977e-09,,,4.0705208167087806e-07,1.934469373961124e-10,8.463217544707594e-12,1.584503924758539e-10,0.0,,1.1331862491964562e-10,2.5409592705414114e-11,1.901852290694576e-08,1.4275653921443303e-06,1.1262650039741283e-08,4.2191367525528406e-11,4.250061968909789e-07,0.0,,7.79063287408912e-07,0.0,0.0,1.0950266801902116e-09,4.330177314082347e-10,,9.727570455957138e-07,1.0591073557195231e-07,4.443718773345569e-08,1.6007846994112196e-08,4.074283598940357e-10,2.6974535502183718e-08,,6.900194464643407e-08,0.0,,2.707585993361958e-09,,5.7454348675953044e-11,2.720785327491232e-09,6.098889247961184e-09,4.666609553922914e-10,3.6689106885571073e-07,5.201189539712351e-13,3.986261067938796e-12,0.0,,,0.0,,0.0,,,0.0,5.582461301187234e-08,0.0,1.8856779142849404e-07,1.810125013029087e-09,6.715396133426821e-05,4.2202370761839114e-07,1.9928793762847408e-07,,4.437346290236474e-07,3.1475898780338415e-07,0.0,9.98330959864361e-08,1.908043409235555e-06,4.60618654716409e-12,0.0,,,1.054229998747136e-07,0.0,1.1571099747733023e-11,2.4135902325604058e-08,2.250325969660032e-12,1.5341884808219894e-12,,1.7638155187917159e-09,,6.990171550601871e-09,6.485787601328593e-07,3.153572638315285e-16,,3.309886489625336e-11,,5.783610054805195e-12,5.05196740931858e-10,0.0,5.925148342923565e-07,5.725431843969868e-10,8.841699576476613e-10,1.7328737322656912e-09,,2.334655098979572e-09,7.26284011641368e-11,2.16721434531522e-11,4.504959257619343e-10,4.434349137254898e-08,,1.0588071173044337e-07,5.107565163523643e-09,1.9520439976040316e-13,1.4688960386352668e-11,1.8397596119597186e-12,0.0,1.970517503765075e-09,8.009837068428064e-09,,0.0,1.0573839165733108e-06,,2.1473973425530518e-14,,6.183726976590134e-07,1.39983551902945e-12,7.203525361170049e-07,0.0,1.6175490663550337e-07
