,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,129.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,77.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,3.0,316.0,38.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3,0.0,0.0,27.0,729.0,82.0,15.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
4,0.0,0.0,1.0,54.0,1235.0,96.0,25.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
5,0.0,0.0,0.0,2.0,74.0,2265.0,162.0,45.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
6,0.0,0.0,0.0,2.0,1.0,141.0,3642.0,257.0,38.0,11.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
7,0.0,0.0,0.0,1.0,1.0,23.0,269.0,4185.0,264.0,35.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
8,0.0,0.0,1.0,0.0,1.0,1.0,35.0,329.0,5209.0,312.0,31.0,24.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
9,0.0,0.0,0.0,1.0,2.0,3.0,6.0,30.0,391.0,4227.0,209.0,49.0,30.0,9.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,101.0
10,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,17.0,273.0,2735.0,229.0,46.0,19.0,7.0,3.0,1.0,0.0,0.0,0.0,4.0,62.0
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,30.0,355.0,3097.0,277.0,71.0,27.0,8.0,1.0,0.0,2.0,0.0,3.0,106.0
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,39.0,413.0,3477.0,327.0,115.0,21.0,12.0,2.0,1.0,5.0,22.0,157.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,12.0,16.0,59.0,443.0,4419.0,624.0,113.0,41.0,15.0,11.0,3.0,37.0,243.0
14,0.0,1.0,0.0,2.0,1.0,3.0,2.0,6.0,9.0,8.0,6.0,31.0,74.0,541.0,8420.0,936.0,176.0,54.0,16.0,11.0,90.0,566.0
15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,5.0,2.0,2.0,15.0,58.0,339.0,3526.0,358.0,111.0,42.0,16.0,142.0,239.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,27.0,120.0,712.0,85.0,46.0,11.0,165.0,59.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,33.0,233.0,19.0,10.0,117.0,40.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,9.0,11.0,9.0,121.0,5.0,76.0,11.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,93.0,45.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
