,0,1,2,3,4,5,6,7,8
0,129.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1200.0,101.0,5.0,0.0,0.0,0.0,0.0,12.0
2,0.0,59.0,7641.0,366.0,3.0,4.0,0.0,0.0,92.0
3,0.0,3.0,341.0,14982.0,359.0,18.0,3.0,2.0,273.0
4,1.0,0.0,6.0,359.0,10668.0,598.0,24.0,29.0,325.0
5,0.0,3.0,8.0,66.0,648.0,18976.0,854.0,269.0,1048.0
6,0.0,0.0,0.0,4.0,4.0,210.0,1393.0,403.0,110.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
