PD,Lower,Upper
5.857229e-10,0.0,0.0
7.772137e-06,0.0,0.0
43.8183,0.0,1104.852943
0.003364505,0.0,0.035216
0.7728454,0.0,5.87699
113.3678,0.0,595.521518
330.6631,0.0,1017.338979
